docs__state,docs__city_name,docs__date,docs__cases,docs__city_cod,docs__state_cod,docs__count,published_in,updated_at
GO,Goiânia,2020-03-12,,5208707.0,52,,,"09/04/2020, às 16:58"
GO,Rio Verde,2020-03-12,,5218805.0,52,,,
GO,Goiânia,2020-03-14,,5208707.0,52,,,
GO,Goiânia,2020-03-16,,5208707.0,52,,,
GO,Anápolis,2020-03-16,,5201108.0,52,,,
GO,Rio Verde,2020-03-16,,5218805.0,52,,,
GO,Rio Verde,2020-03-17,,5218805.0,52,,,
GO,Jataí,2020-03-18,,5211909.0,52,,,
GO,Aparecida de Goiânia,2020-03-18,,5201405.0,52,,,
GO,Goiânia,2020-03-19,,5208707.0,52,,,
GO,Goiânia,2020-03-20,,5208707.0,52,,,
GO,Rio Verde,2020-03-22,,5218805.0,52,,,
GO,Catalão,2020-03-22,,5205109.0,52,,,
GO,Goiânia,2020-03-22,,5208707.0,52,,,
GO,Goiânia,2020-03-23,,5208707.0,52,,,
GO,Goiânia,2020-03-24,,5208707.0,52,,,
GO,Anápolis,2020-03-24,,5201108.0,52,,,
GO,Valparaíso de Goiás,2020-03-24,,5221858.0,52,,,
GO,Rio Verde,2020-03-25,,5218805.0,52,,,
GO,Silvânia,2020-03-25,,5220603.0,52,,,
GO,Luziânia,2020-03-25,,5212501.0,52,,,
GO,Goiânia,2020-03-25,,5208707.0,52,,,
GO,Goiânia,2020-03-26,,5208707.0,52,,,
GO,Goiânia,2020-03-27,,5208707.0,52,,,
GO,Goiânia,2020-03-28,,5208707.0,52,,,
GO,Rio Verde,2020-03-28,,5218805.0,52,,,
GO,Anápolis,2020-03-28,,5201108.0,52,,,
GO,Jataí,2020-03-28,,5211909.0,52,,,
GO,Águas Lindas de Goiás,2020-03-28,,5200258.0,52,,,
GO,Goianésia,2020-03-28,,5208608.0,52,,,
GO,Goiânia,2020-03-30,,5208707.0,52,,,
GO,Itumbiara,2020-03-30,,5211503.0,52,,,
GO,Goiânia,2020-03-31,,5208707.0,52,,,
GO,Goiânia,2020-04-01,,5208707.0,52,,,
GO,Cidade Ocidental,2020-04-01,,5205497.0,52,,,
GO,Campestre de Goiás,2020-04-01,,5204607.0,52,,,
GO,Paranaiguara,2020-04-01,,5216304.0,52,,,
GO,Trindade,2020-04-01,,5221403.0,52,,,
GO,Valparaíso de Goiás,2020-04-01,,5221858.0,52,,,
GO,Goiânia,2020-04-03,,5208707.0,52,,,
GO,Valparaíso de Goiás,2020-04-03,,5221858.0,52,,,
GO,Bom Jesus de Goiás,2020-04-03,,5203500.0,52,,,
GO,Nova Veneza,2020-04-03,,5215009.0,52,,,
GO,São Luís de Montes Belos,2020-04-03,,5220108.0,52,,,
GO,Senador Canedo,2020-04-03,,5220454.0,52,,,
GO,Goiânia,2020-04-04,,5208707.0,52,,,
GO,Anápolis,2020-04-04,,5201108.0,52,,,
GO,Goiânia,2020-04-05,,5208707.0,52,,,
GO,Anápolis,2020-04-05,,5201108.0,52,,,
GO,Jataí,2020-04-05,,5211909.0,52,,,
GO,Rio Verde,2020-04-05,,5218805.0,52,,,
GO,Luziânia,2020-04-06,,5212501.0,52,,,
GO,Anápolis,2020-04-07,,5201108.0,52,,,
GO,Cidade Ocidental,2020-04-07,,5205497.0,52,,,
GO,Goianésia,2020-04-07,,5208608.0,52,,,
GO,Goiânia,2020-04-07,,5208707.0,52,,,
GO,Nova Glória,2020-04-07,,5214861.0,52,,,
GO,São Luís de Montes Belos,2020-04-07,,5220108.0,52,,,
GO,Vianópolis,2020-04-07,,5222005.0,52,,,
GO,Goiandira,2020-04-08,,5208509.0,52,,,
GO,Goianésia,2020-04-08,,5208608.0,52,,,
GO,Goiânia,2020-04-08,,5208707.0,52,,,
GO,Goiatuba,2020-04-08,,5209101.0,52,,,
GO,Guapó,2020-04-08,,5209200.0,52,,,
GO,Itumbiara,2020-04-08,,5211503.0,52,,,
GO,Jataí,2020-04-08,,5211909.0,52,,,
GO,Montividiu,2020-04-08,,5213756.0,52,,,
GO,Pires do Rio,2020-04-08,,5217401.0,52,,,
GO,Rio Verde,2020-04-08,,5218805.0,52,,,
GO,Não informado,2020-04-08,,,52,,,
GO,Trindade,2020-04-08,,5221403.0,52,,,
GO,Anápolis,2020-04-08,,5201108.0,52,,,
GO,Bela Vista de Goiás,2020-04-08,,5203302.0,52,,,
GO,Anhanguera,2020-04-09,,5201207.0,52,,,
