"docs__state","docs__city_name","docs__date","docs__cases","docs__city_cod","docs__state_cod","docs__count","published_in","updated_at"
"GO","Goiânia","2020-03-12","2","5208707","52","2","","09/04/2020, às 16:58"
"GO","Rio Verde","2020-03-12","1","5218805","52","1","",""
"GO","Goiânia","2020-03-14","1","5208707","52","3","",""
"GO","Goiânia","2020-03-16","2","5208707","52","5","",""
"GO","Anápolis","2020-03-16","2","5201108","52","2","",""
"GO","Rio Verde","2020-03-16","1","5218805","52","2","",""
"GO","Rio Verde","2020-03-17","1","5218805","52","3","",""
"GO","Jataí","2020-03-18","1","5211909","52","1","",""
"GO","Aparecida de Goiânia","2020-03-18","1","5201405","52","1","",""
"GO","Goiânia","2020-03-19","3","5208707","52","8","",""
"GO","Goiânia","2020-03-20","2","5208707","52","10","",""
"GO","Rio Verde","2020-03-22","2","5218805","52","5","",""
"GO","Catalão","2020-03-22","1","5205109","52","1","",""
"GO","Goiânia","2020-03-22","1","5208707","52","11","",""
"GO","Goiânia","2020-03-23","2","5208707","52","13","",""
"GO","Goiânia","2020-03-24","3","5208707","52","16","",""
"GO","Anápolis","2020-03-24","1","5201108","52","3","",""
"GO","Valparaíso de Goiás","2020-03-24","2","5221858","52","2","",""
"GO","Rio Verde","2020-03-25","1","5218805","52","6","",""
"GO","Silvânia","2020-03-25","1","5220603","52","1","",""
"GO","Luziânia","2020-03-25","1","5212501","52","1","",""
"GO","Goiânia","2020-03-25","3","5208707","52","19","",""
"GO","Goiânia","2020-03-26","3","5208707","52","22","",""
"GO","Goiânia","2020-03-27","6","5208707","52","28","",""
"GO","Goiânia","2020-03-28","7","5208707","52","35","",""
"GO","Rio Verde","2020-03-28","1","5218805","52","7","",""
"GO","Anápolis","2020-03-28","1","5201108","52","4","",""
"GO","Jataí","2020-03-28","1","5211909","52","2","",""
"GO","Águas Lindas de Goiás","2020-03-28","1","5200258","52","1","",""
"GO","Goianésia","2020-03-28","1","5208608","52","1","",""
"GO","Goiânia","2020-03-30","3","5208707","52","38","",""
"GO","Itumbiara","2020-03-30","2","5211503","52","2","",""
"GO","Goiânia","2020-03-31","4","5208707","52","42","",""
"GO","Goiânia","2020-04-01","2","5208707","52","44","",""
"GO","Cidade Ocidental","2020-04-01","1","5205497","52","1","",""
"GO","Campestre de Goiás","2020-04-01","1","5204607","52","1","",""
"GO","Paranaiguara","2020-04-01","1","5216304","52","1","",""
"GO","Trindade","2020-04-01","1","5221403","52","1","",""
"GO","Valparaíso de Goiás","2020-04-01","2","5221858","52","4","",""
"GO","Goiânia","2020-04-03","9","5208707","52","53","",""
"GO","Valparaíso de Goiás","2020-04-03","2","5221858","52","6","",""
"GO","Bom Jesus de Goiás","2020-04-03","1","5203500","52","1","",""
"GO","Nova Veneza","2020-04-03","1","5215009","52","1","",""
"GO","São Luís de Montes Belos","2020-04-03","1","5220108","52","1","",""
"GO","Senador Canedo","2020-04-03","1","5220454","52","1","",""
"GO","Goiânia","2020-04-04","13","5208707","52","66","",""
"GO","Anápolis","2020-04-04","2","5201108","52","6","",""
"GO","Goiânia","2020-04-05","7","5208707","52","73","",""
"GO","Anápolis","2020-04-05","2","5201108","52","8","",""
"GO","Jataí","2020-04-05","1","5211909","52","3","",""
"GO","Rio Verde","2020-04-05","1","5218805","52","8","",""
"GO","Luziânia","2020-04-06","5","5212501","52","6","",""
"GO","Anápolis","2020-04-07","3","5201108","52","11","",""
"GO","Cidade Ocidental","2020-04-07","1","5205497","52","2","",""
"GO","Goianésia","2020-04-07","4","5208608","52","5","",""
"GO","Goiânia","2020-04-07","3","5208707","52","76","",""
"GO","Nova Glória","2020-04-07","1","5214861","52","1","",""
"GO","São Luís de Montes Belos","2020-04-07","1","5220108","52","2","",""
"GO","Vianópolis","2020-04-07","1","5222005","52","1","",""
"GO","Goiandira","2020-04-08","1","5208509","52","1","",""
"GO","Goianésia","2020-04-08","2","5208608","52","7","",""
"GO","Goiânia","2020-04-08","9","5208707","52","85","",""
"GO","Goiatuba","2020-04-08","1","5209101","52","1","",""
"GO","Guapó","2020-04-08","1","5209200","52","1","",""
"GO","Itumbiara","2020-04-08","1","5211503","52","3","",""
"GO","Jataí","2020-04-08","1","5211909","52","4","",""
"GO","Montividiu","2020-04-08","1","5213756","52","1","",""
"GO","Pires do Rio","2020-04-08","1","5217401","52","1","",""
"GO","Rio Verde","2020-04-08","1","5218805","52","9","",""
"GO","Não informado","2020-04-08","4","null","52","4","",""
"GO","Trindade","2020-04-08","1","5221403","52","2","",""
"GO","Anápolis","2020-04-08","1","5201108","52","12","",""
"GO","Bela Vista de Goiás","2020-04-08","1","5203302","52","1","",""
"GO","Anhanguera","2020-04-09","1","5201207","52","1","",""
"GO","Goianésia","2020-04-09","1","5208608","52","8","",""
"GO","Goiânia","2020-04-09","17","5208707","52","102","",""
"SE","Aracaju","2020-03-14","1","2800308","28","1","",""
"SE","Aracaju","2020-03-16","4","2800308","28","5","",""
"SE","Propriá","2020-03-18","1","2805703","28","1","",""
"SE","Propriá","2020-03-20","1","2805703","28","2","",""
"SE","Nossa Senhora da Glória","2020-03-21","1","2804508","28","1","",""
"SE","Aracaju","2020-03-21","2","2800308","28","7","",""
"SE","Aracaju","2020-03-24","5","2800308","28","12","",""
"SE","Aracaju","2020-03-25","1","2800308","28","13","",""
"SE","Aracaju","2020-03-30","2","2800308","28","15","",""
"SE","Aracaju","2020-03-31","2","2800308","28","17","",""
"SE","Aracaju","2020-04-01","2","2800308","28","19","",""
"SE","Aracaju","2020-04-02","1","2800308","28","20","",""
"SE","Capela","2020-04-02","1","2801306","28","1","",""
"SE","Aracaju","2020-04-03","3","2800308","28","23","",""
"SE","Itabaiana","2020-04-04","1","2802908","28","1","",""
"SE","Aracaju","2020-04-04","4","2800308","28","27","",""
"SE","Simão Dias","2020-04-07","1","2807105","28","1","",""
"SE","Aracaju","2020-04-07","3","2800308","28","30","",""
"SE","Aracaju","2020-04-08","2","2800308","28","32","",""
"SE","Pacatuba","2020-04-08","1","2804904","28","1","",""
"MS","Campo Grande","2020-03-12","2","5002704","50","2","",""
"MS","Campo Grande","2020-03-14","2","5002704","50","4","",""
"MS","Campo Grande","2020-03-15","3","5002704","50","7","",""
"MS","Campo Grande","2020-03-16","3","5002704","50","10","",""
"MS","Campo Grande","2020-03-17","2","5002704","50","12","",""
"MS","Sidrolândia","2020-03-17","1","5007901","50","1","",""
"MS","Campo Grande","2020-03-19","9","5002704","50","21","",""
"MS","Ponta Porã","2020-03-19","1","5006606","50","1","",""
"MS","Campo Grande","2020-03-20","1","5002704","50","22","",""
"MS","Campo Grande","2020-03-23","1","5002704","50","23","",""
"MS","Rio Verde de Mato Grosso","2020-03-25","1","5007406","50","1","",""
"MS","Batayporã","2020-03-24","1","5002001","50","1","",""
"MS","Campo Grande","2020-03-25","1","5002704","50","24","",""
"MS","Dourados","2020-03-25","3","5003702","50","3","",""
"MS","Campo Grande","2020-03-26","1","5002704","50","25","",""
"MS","Campo Grande","2020-03-28","4","5002704","50","29","",""
"MS","Campo Grande","2020-03-18","1","5002704","50","30","",""
"MS","Batayporã","2020-03-26","1","5002001","50","2","",""
"MS","Campo Grande","2020-03-29","6","5002704","50","36","",""
"MS","Campo Grande","2020-03-30","3","5002704","50","39","",""
"MS","Batayporã","2020-03-29","2","5002001","50","4","",""
"MS","Nova Andradina","2020-03-28","1","5006200","50","1","",""
"MS","Alcinópolis","2020-03-28","1","5000252","50","1","",""
"MS","Três Lagoas","2020-03-28","1","5008305","50","1","",""
"MS","Dourados","2020-03-31","1","5003702","50","4","",""
"MS","Dourados","2020-03-29","1","5003702","50","5","",""
"MS","Batayporã","2020-04-01","1","5002001","50","5","",""
"MS","Nova Andradina","2020-04-01","1","5006200","50","2","",""
"MS","Campo Grande","2020-04-02","6","5002704","50","45","",""
"MS","Dourados","2020-04-02","1","5003702","50","6","",""
"MS","Três Lagoas","2020-04-03","2","5008305","50","3","",""
"MS","Chapadão do Sul","2020-04-03","1","5002951","50","1","",""
"MS","Nova Andradina","2020-04-07","6","5006200","50","8","",""
"MS","Campo Grande","2020-04-07","4","5002704","50","49","",""
"MS","Batayporã","2020-04-07","1","5002001","50","6","",""
"MS","Chapadão do Sul","2020-04-07","1","5002951","50","2","",""
"MS","Corumbá","2020-04-07","1","5003207","50","1","",""
"MS","Sonora","2020-04-07","1","5007935","50","1","",""
"MS","Três Lagoas","2020-04-06","5","5008305","50","8","",""
"MS","Dourados","2020-04-06","1","5003702","50","7","",""
"MS","Chapadão do Sul","2020-04-06","2","5002951","50","4","",""
"MS","Nova Andradina","2020-04-06","1","5006200","50","9","",""
"AC","Rio Branco","2020-03-17","3","1200401","12","3","",""
"AC","Rio Branco","2020-03-19","1","1200401","12","4","",""
"AC","Rio Branco","2020-03-20","3","1200401","12","7","",""
"AC","Rio Branco","2020-03-21","4","1200401","12","11","",""
"AC","Rio Branco","2020-03-23","6","1200401","12","17","",""
"AC","Rio Branco","2020-03-24","6","1200401","12","23","",""
"AC","Rio Branco","2020-03-27","2","1200401","12","25","",""
"AC","Rio Branco","2020-03-29","6","1200401","12","31","",""
"AC","Acrelândia","2020-03-29","2","1200013","12","2","",""
"AC","Porto Acre","2020-03-29","1","1200807","12","1","",""
"AC","Acrelândia","2020-03-30","4","1200013","12","6","",""
"AC","Rio Branco","2020-03-30","3","1200401","12","34","",""
"AC","Acrelândia","2020-03-31","1","1200013","12","7","",""
"AC","Acrelândia","2020-04-01","1","1200013","12","8","",""
"AC","Rio Branco","2020-04-02","2","1200401","12","36","",""
"AC","Acrelândia","2020-04-03","1","1200013","12","9","",""
"AC","Rio Branco","2020-04-05","2","1200401","12","38","",""
"AC","Rio Branco","2020-04-06","1","1200401","12","39","",""
"AC","Plácido de Castro","2020-04-06","1","1200385","12","1","",""
"AC","Rio Branco","2020-04-08","6","1200401","12","45","",""
"AC","Bujari","2020-04-08","1","1200138","12","1","",""
"AC","Plácido de Castro","2020-04-08","1","1200385","12","2","",""
"RJ","Barra Mansa","2020-03-05","1","3300407","33","1","",""
"RJ","Rio de Janeiro","2020-03-06","1","3304557","33","1","",""
"RJ","Rio de Janeiro","2020-03-08","1","3304557","33","2","",""
"RJ","Niterói","2020-03-09","1","3303302","33","1","",""
"RJ","Rio de Janeiro","2020-03-09","5","3304557","33","7","",""
"RJ","Rio de Janeiro","2020-03-11","3","3304557","33","10","",""
"RJ","Rio de Janeiro","2020-03-12","4","3304557","33","14","",""
